1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	0
34	1
35	2
36	3
37	4
38	5
39	6
40	7
41	8
42	9
43	10
44	11
45	12
46	13
47	14
48	15
49	16
50	17
51	18
52	19
53	20
54	21
55	22
56	23
57	24
58	25
59	26
60	27
61	28
62	29
63	30
64	31
65	32
66	0
67	1
68	2
69	3
70	4
71	5
72	6
73	7
74	8
75	9
76	10
77	11
78	12
79	13
80	14
81	15
82	16
83	17
84	18
85	19
86	20
87	21
88	22
89	23
90	24
91	25
92	26
93	27
94	28
95	29
96	30
97	31
98	32
99	0
100	1
101	2
102	3
103	4
104	5
105	6
106	7
107	8
108	9
109	10
110	11
111	12
112	13
113	14
114	15
115	16
116	17
117	18
118	19
119	20
120	21
121	22
122	23
123	24
124	25
125	26
126	27
127	28
128	29
129	30
130	31
131	32
132	0
133	1
134	2
135	3
136	4
137	5
138	6
139	7
140	8
141	9
142	10
143	11
144	12
145	13
146	14
147	15
148	16
149	17
150	18
151	19
152	20
153	21
154	22
155	23
156	24
157	25
158	26
159	27
160	28
161	29
162	30
163	31
164	32
165	0
166	1
167	2
168	3
169	4
170	5
171	6
172	7
173	8
174	9
175	10
176	11
177	12
178	13
179	14
180	15
181	16
182	17
183	18
184	19
185	20
186	21
187	22
188	23
189	24
190	25
191	26
192	27
193	28
194	29
195	30
196	31
197	32
198	0
199	1
200	2
201	3
202	4
203	5
204	6
205	7
206	8
207	9
208	10
209	11
210	12
211	13
212	14
213	15
214	16
215	17
216	18
217	19
218	20
219	21
220	22
221	23
222	24
223	25
224	26
225	27
226	28
227	29
228	30
229	31
230	32
231	0
232	1
233	2
234	3
235	4
236	5
237	6
238	7
239	8
240	9
241	10
242	11
243	12
244	13
245	14
246	15
247	16
248	17
249	18
250	19
251	20
252	21
253	22
254	23
255	24
256	25
257	26
258	27
259	28
260	29
261	30
262	31
263	32
264	0
265	1
266	2
267	3
268	4
269	5
270	6
271	7
272	8
273	9
274	10
275	11
276	12
277	13
278	14
279	15
280	16
281	17
282	18
283	19
284	20
285	21
286	22
287	23
288	24
289	25
290	26
291	27
292	28
293	29
294	30
295	31
296	32
297	0
298	1
299	2
300	3
301	4
302	5
303	6
304	7
305	8
306	9
307	10
308	11
309	12
310	13
311	14
312	15
313	16
314	17
315	18
316	19
317	20
318	21
319	22
320	23
321	24
322	25
323	26
324	27
325	28
326	29
327	30
328	31
329	32
330	0
331	1
332	2
333	3
334	4
335	5
336	6
337	7
338	8
339	9
340	10
341	11
342	12
343	13
344	14
345	15
346	16
347	17
348	18
349	19
350	20
351	21
352	22
353	23
354	24
355	25
356	26
357	27
358	28
359	29
360	30
361	31
362	32
363	0
364	1
365	2
366	3
367	4
368	5
369	6
370	7
371	8
372	9
373	10
374	11
375	12
376	13
377	14
378	15
379	16
380	17
381	18
382	19
383	20
384	21
385	22
386	23
387	24
388	25
389	26
390	27
391	28
392	29
393	30
394	31
395	32
396	0
397	1
398	2
399	3
400	4
401	5
402	6
403	7
404	8
405	9
406	10
407	11
408	12
409	13
410	14
411	15
412	16
413	17
414	18
415	19
416	20
417	21
418	22
419	23
420	24
421	25
422	26
423	27
424	28
425	29
426	30
427	31
428	32
429	0
430	1
431	2
432	3
433	4
434	5
435	6
436	7
437	8
438	9
439	10
440	11
441	12
442	13
443	14
444	15
445	16
446	17
447	18
448	19
449	20
450	21
451	22
452	23
453	24
454	25
455	26
456	27
457	28
458	29
459	30
460	31
461	32
462	0
463	1
464	2
465	3
466	4
467	5
468	6
469	7
470	8
471	9
472	10
473	11
474	12
475	13
476	14
477	15
478	16
479	17
480	18
481	19
482	20
483	21
484	22
485	23
486	24
487	25
488	26
489	27
490	28
491	29
492	30
493	31
494	32
495	0
496	1
497	2
498	3
499	4
500	5
501	6
502	7
503	8
504	9
505	10
506	11
507	12
508	13
509	14
510	15
511	16
512	17
513	18
514	19
515	20
516	21
517	22
518	23
519	24
520	25
521	26
522	27
523	28
524	29
525	30
526	31
527	32
528	0
529	1
530	2
531	3
532	4
533	5
534	6
535	7
536	8
537	9
538	10
539	11
540	12
541	13
542	14
543	15
544	16
545	17
546	18
547	19
548	20
549	21
550	22
551	23
552	24
553	25
554	26
555	27
556	28
557	29
558	30
559	31
560	32
561	0
562	1
563	2
564	3
565	4
566	5
